location_description,primary_type,counts
ABANDONED BUILDING,NARCOTICS,2948
AIRCRAFT,THEFT,340
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,THEFT,435
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,THEFT,420
AIRPORT EXTERIOR - NON-SECURE AREA,THEFT,203
AIRPORT EXTERIOR - SECURE AREA,THEFT,150
AIRPORT PARKING LOT,THEFT,288
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,CRIMINAL TRESPASS,787
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,THEFT,489
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,THEFT,46
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,THEFT,313
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,THEFT,1018
AIRPORT TRANSPORTATION SYSTEM (ATS),THEFT,56
AIRPORT VENDING ESTABLISHMENT,DECEPTIVE PRACTICE,492
AIRPORT/AIRCRAFT,THEFT,5415
ALLEY,NARCOTICS,45940
ANIMAL HOSPITAL,THEFT,162
APARTMENT,BATTERY,256966
APPLIANCE STORE,THEFT,826
ATHLETIC CLUB,THEFT,6948
ATM (AUTOMATIC TELLER MACHINE),DECEPTIVE PRACTICE,6759
AUTO,HOMICIDE,1155
AUTO / BOAT / RV DEALERSHIP,THEFT,141
BANK,DECEPTIVE PRACTICE,18486
BANQUET HALL,HOMICIDE,1
BAR OR TAVERN,THEFT,15511
BARBER SHOP/BEAUTY SALON,HOMICIDE,15
BARBERSHOP,BURGLARY,1577
BASEMENT,HOMICIDE,31
BOAT / WATERCRAFT,ROBBERY,1
BOAT/WATERCRAFT,THEFT,299
BOWLING ALLEY,THEFT,320
BRIDGE,CRIMINAL DAMAGE,94
CAR WASH,THEFT,820
CEMETARY,THEFT,139
CHA APARTMENT,BATTERY,13490
CHA BREEZEWAY,HOMICIDE,3
CHA ELEVATOR,HOMICIDE,2
CHA GROUNDS,HOMICIDE,43
CHA HALLWAY,HOMICIDE,35
CHA HALLWAY / STAIRWELL / ELEVATOR,ROBBERY,14
CHA HALLWAY/STAIRWELL/ELEVATOR,CRIMINAL TRESPASS,10628
CHA LOBBY,HOMICIDE,6
CHA PARKING LOT,HOMICIDE,44
CHA PARKING LOT / GROUNDS,BATTERY,2
CHA PARKING LOT/GROUNDS,NARCOTICS,21043
CHA PLAY LOT,HOMICIDE,4
CHA STAIRWELL,HOMICIDE,8
CHURCH,HOMICIDE,6
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,CRIMINAL SEXUAL ASSAULT,3
CHURCH PROPERTY,HOMICIDE,2
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,THEFT,4943
CLEANERS/LAUNDROMAT,HOMICIDE,1
CLEANING STORE,THEFT,1292
CLUB,HOMICIDE,15
COACH HOUSE,HOMICIDE,3
COIN OPERATED MACHINE,THEFT,473
COLLEGE / UNIVERSITY - GROUNDS,DECEPTIVE PRACTICE,1
COLLEGE/UNIVERSITY GROUNDS,THEFT,2757
COLLEGE/UNIVERSITY RESIDENCE HALL,THEFT,465
COMMERCIAL / BUSINESS OFFICE,THEFT,17644
CONSTRUCTION SITE,THEFT,6511
CONVENIENCE STORE,THEFT,7500
COUNTY JAIL,HOMICIDE,2
CREDIT UNION,DECEPTIVE PRACTICE,323
"CTA ""L"" PLATFORM",HOMICIDE,5
"CTA ""L"" TRAIN",HOMICIDE,2
CTA BUS,THEFT,7630
CTA BUS STOP,ROBBERY,1856
CTA GARAGE / OTHER PROPERTY,THEFT,2706
CTA PLATFORM,DECEPTIVE PRACTICE,12558
CTA PROPERTY,HOMICIDE,4
CTA STATION,THEFT,1309
CTA SUBWAY STATION,HOMICIDE,1
CTA TRACKS - RIGHT OF WAY,CRIMINAL TRESPASS,84
CTA TRAIN,THEFT,14159
CURRENCY EXCHANGE,DECEPTIVE PRACTICE,7413
DAY CARE CENTER,CRIMINAL DAMAGE,509
DELIVERY TRUCK,THEFT,726
DEPARTMENT STORE,THEFT,73493
DRIVEWAY,HOMICIDE,17
DRIVEWAY - RESIDENTIAL,CRIMINAL DAMAGE,6458
DRUG STORE,THEFT,22824
DUMPSTER,HOMICIDE,7
ELEVATOR,HOMICIDE,1
EXPRESSWAY EMBANKMENT,HOMICIDE,1
FACTORY,HOMICIDE,2
FACTORY / MANUFACTURING BUILDING,BURGLARY,1
FACTORY/MANUFACTURING BUILDING,THEFT,1706
FARM,CRIMINAL DAMAGE,3
FEDERAL BUILDING,ASSAULT,159
FIRE STATION,THEFT,549
FOREST PRESERVE,THEFT,84
FUNERAL PARLOR,HOMICIDE,1
GANGWAY,HOMICIDE,67
GARAGE,HOMICIDE,57
GARAGE/AUTO REPAIR,HOMICIDE,11
GAS STATION,THEFT,18287
GAS STATION DRIVE/PROP.,HOMICIDE,44
GOVERNMENT BUILDING,HOMICIDE,2
GOVERNMENT BUILDING / PROPERTY,NARCOTICS,2
GOVERNMENT BUILDING/PROPERTY,THEFT,2923
GROCERY FOOD STORE,THEFT,58606
HALLWAY,HOMICIDE,84
HIGHWAY/EXPRESSWAY,BATTERY,209
HORSE STABLE,NARCOTICS,1
HOSPITAL,HOMICIDE,8
HOSPITAL BUILDING / GROUNDS,CRIMINAL SEXUAL ASSAULT,12
HOSPITAL BUILDING/GROUNDS,THEFT,7249
HOTEL,HOMICIDE,20
HOTEL / MOTEL,CRIMINAL SEXUAL ASSAULT,11
HOTEL/MOTEL,THEFT,10966
HOUSE,HOMICIDE,546
JAIL / LOCK-UP FACILITY,BATTERY,359
JUNK YARD/GARBAGE DUMP,HOMICIDE,1
KENNEL,CRIMINAL DAMAGE,2
LAGOON,HOMICIDE,1
LAKE,HOMICIDE,3
LAKEFRONT / WATERFRONT / RIVERBANK,CRIMINAL SEXUAL ASSAULT,2
LAKEFRONT/WATERFRONT/RIVERBANK,THEFT,571
LAUNDRY ROOM,HOMICIDE,2
LIBRARY,THEFT,2217
LIQUOR STORE,HOMICIDE,7
LIVERY AUTO,HOMICIDE,1
LIVERY STAND OFFICE,HOMICIDE,2
LOADING DOCK,HOMICIDE,1
MEDICAL / DENTAL OFFICE,SEX OFFENSE,1
MEDICAL/DENTAL OFFICE,THEFT,2349
MOTEL,HOMICIDE,5
MOVIE HOUSE/THEATER,THEFT,1155
NEWSSTAND,THEFT,75
NURSING / RETIREMENT HOME,CRIMINAL SEXUAL ASSAULT,6
NURSING HOME,HOMICIDE,5
NURSING HOME/RETIREMENT HOME,BATTERY,6938
OFFICE,HOMICIDE,15
OTHER,THEFT,84539
OTHER (SPECIFY),DECEPTIVE PRACTICE,49
OTHER COMMERCIAL TRANSPORTATION,THEFT,944
OTHER RAILROAD PROP / TRAIN DEPOT,THEFT,1565
OTHER RAILROAD PROPERTY / TRAIN DEPOT,NARCOTICS,1
PARK PROPERTY,THEFT,13271
PARKING LOT,HOMICIDE,168
PARKING LOT / GARAGE (NON RESIDENTIAL),ROBBERY,18
PARKING LOT/GARAGE(NON.RESID.),THEFT,74461
PAWN SHOP,THEFT,265
POLICE FACILITY / VEHICLE PARKING LOT,NARCOTICS,3
POLICE FACILITY/VEH PARKING LOT,NARCOTICS,5918
POOL ROOM,THEFT,197
POOLROOM,HOMICIDE,1
PORCH,HOMICIDE,308
PRAIRIE,HOMICIDE,2
PUBLIC GRAMMAR SCHOOL,HOMICIDE,1
PUBLIC HIGH SCHOOL,HOMICIDE,2
RAILROAD PROPERTY,HOMICIDE,14
RESIDENCE,BATTERY,269617
RESIDENCE - GARAGE,BURGLARY,17
RESIDENCE - PORCH / HALLWAY,BATTERY,15
RESIDENCE - YARD (FRONT / BACK),BATTERY,11
RESIDENCE PORCH/HALLWAY,BATTERY,31398
RESIDENCE-GARAGE,BURGLARY,69576
RESIDENTIAL YARD (FRONT/BACK),THEFT,27817
RESTAURANT,THEFT,42912
RETAIL STORE,HOMICIDE,72
RIVER,HOMICIDE,4
RIVER BANK,HOMICIDE,4
ROOMING HOUSE,HOMICIDE,2
SAVINGS AND LOAN,DECEPTIVE PRACTICE,97
SCHOOL - PRIVATE BUILDING,SEX OFFENSE,2
SCHOOL - PRIVATE GROUNDS,ROBBERY,1
SCHOOL - PUBLIC BUILDING,SEX OFFENSE,13
SCHOOL - PUBLIC GROUNDS,SEX OFFENSE,2
SCHOOL YARD,HOMICIDE,11
"SCHOOL, PRIVATE, BUILDING",THEFT,4355
"SCHOOL, PRIVATE, GROUNDS",THEFT,1041
"SCHOOL, PUBLIC, BUILDING",BATTERY,51260
"SCHOOL, PUBLIC, GROUNDS",BATTERY,11041
SEWER,HOMICIDE,3
SIDEWALK,NARCOTICS,228055
SMALL RETAIL STORE,THEFT,72106
SPORTS ARENA/STADIUM,THEFT,1602
STAIRWELL,HOMICIDE,20
STREET,THEFT,403992
TAVERN,HOMICIDE,34
TAVERN / LIQUOR STORE,BURGLARY,1
TAVERN/LIQUOR STORE,THEFT,6728
TAXI CAB,HOMICIDE,6
TAXICAB,DECEPTIVE PRACTICE,3555
TRAILER,HOMICIDE,4
TRUCK,HOMICIDE,8
TRUCKING TERMINAL,HOMICIDE,1
VACANT LOT,HOMICIDE,105
VACANT LOT / LAND,BATTERY,3
VACANT LOT/LAND,NARCOTICS,5968
VEHICLE - COMMERCIAL,CRIMINAL SEXUAL ASSAULT,2
VEHICLE - DELIVERY TRUCK,THEFT,129
VEHICLE - OTHER RIDE SERVICE,THEFT,97
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",THEFT,135
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",CRIMINAL SEXUAL ASSAULT,3
VEHICLE NON-COMMERCIAL,THEFT,38074
VEHICLE-COMMERCIAL,THEFT,3049
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,THEFT,4
VEHICLE-COMMERCIAL - TROLLEY BUS,BATTERY,3
VESTIBULE,HOMICIDE,17
WAREHOUSE,THEFT,3609
WOODED AREA,HOMICIDE,7
YARD,HOMICIDE,215
YMCA,HOMICIDE,3
